src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
At least  <hon>they<hoff> 've stopped. 	 STEVEN : Mais elles 	 Steven be careful. You don't know what they might do. After all, we helped destroy the other four  dolls. Perhaps we can edge past them. We can't get past them now! 	 Je vais les arrêter. DODO : Attention, on ne sait jamais. Après tout, on a détruit les autres  poupées . STEVEN : Peut-être peut-on se faufiler. Les poupées bloquent alors le passage. DODO : On ne peut plus, maintenant. 	 dolls  	 poupées 
You can't see that  <hon>they<hoff> 're just phantoms - things created in his mind. 	 Tu ne vois pas qu'ils 	 We've been through too much! How on earth do we get out of this thing? I wonder if we'll ever see the sergeant and the cook again?  They were rather funny, you know. Look, you still believe in these creations of the Toymaker, don't you? 	 On a traversé tant d'épreuves... Comment on sort de ce truc ? DODO : Tu crois qu'on reverra le sergent et la cuisinière ?  Ils  étaient plutôt drôles. STEVEN : Tu crois toujours en ces créations du Fabricant, hein ? 	 They  	 Ils 
I had it made secretly and  <hon>it<hoff>  is ready to be detonated at any time. 	 Je l'ai fait fabriquer en secret et elle 	 MONOID THREE: Yes, One. What was the plan you had for destroying the Guardians and this spaceship? MONOID ONE: A short while after we leave, they will disappear in a cloud of fragmented pieces. You mean a bomb of some kind?  A fission device. 	 Oui, Un. Quel était ton plan pour détruire les Gardiens et ce vaisseau spatial ? Peu de temps après notre départ, ils disparaîtront dans une nuée de fragments. Tu veux dire une sorte de bombe ?  Une bombe atomique . 	 A fission device  	 Une bombe atomique 
Aye, but later this night  <hon>they<hoff>  will be upon us without a doubt. 	 KEWPER : Mais plus tard dans la nuit, ils 	 So we must act. But how? And without bloodshed? Well, by guile, I say. They will come soon, so we must come the sooner. Aye, forestall  the villains and leave them nothing, eh? 	 Il faut agir. CHÂTELAIN : Comment, sans effusion de sang ? KEWPER : Avec de l a ruse.  <h on> Ils  vont bientôt venir. On doi t y  être avant eux. CHÂTELAIN : Oui, devancer les bandits et ne rien leur laisser. 	 the villains  	 a ruse.  <h t y 
Beneath their rough exteriors, they really have hearts of platinum. 	 Malgré les apparences, ils 	 -Good night. Well, my evening's a social success.  Dukes and ladies. Don't tell me the king of Spain is going to jump out of a pie. You mustn't be snobbish. 	 - Bonsoir. Quelle société !  Des ducs et des ladies.  Le roi d'Espagne va-t-il bondir d'un gâteau ? Ne soyez pas snob. 	 Dukes and ladies.  	 Des ducs et des ladies. 
Maybe they are... 	 Elles 	 Goodbye. Those faking art dealers! Peanut brains! Parasites! Maybe  he's right. 	 Au revoir. Ces marchands de tableaux! Des idiots. Des parasites.  S'il  avait raison? 	 he'  	 S'il 
Everything is tense, they go closer. 	 L'atmosphère est tendue, ils 	 - It was over... - Wait, let's see what we've got. "The witnesses were ushered into the death chamber. All eyes focused on the chair. The death-dealing device with which the state enacts the supreme penalty. The sound of footsteps is heard. 	 - C'est la fin... - voyons ce qu'on a. " Les témoins  entrent dans la chambre de la mort, regard braqué sur la chaise. Un instrument de mort servant à exécuter la peine suprême. On entend des pas. 	 None 	 Les témoins 
The chief has been saying they're shooting up the bank. 	 Ils 	 I think I'm going to... - Sugar. Honey. Sabra.  Outlaws. 	 Je pense que je vais... - Ma puce. Ma chérie. Sabra.  Des hors-la-loi . 	 Outlaws  	 Des hors-la-loi 
So they swam over. 	 Ils 	 All you need is carfare to Long Island. And get a shave and a shine. You're gonna have a tough time getting in there as it is. I know those  blue-noses. Their ancestors refused to come on the Mayflower. They didn't want to rub elbows with tourists. 	 Un ticket de bus suffira. Et tu ferais bien de te raser. T'auras du mal à entrer chez  eux  avec cette tête-là. Je les connais ces bourgeois. Leurs ancêtres n'ont pas pris le Mayflower... pour ne pas se frotter aux touristes. 	 blue-noses  	 eux 
Beneath their rough exteriors,  <hon>they<hoff>  really have hearts of platinum. 	 Malgré les apparences, ils 	 -Good night. Well, my evening's a social success. Dukes and ladies. Don't tell me the king of Spain is going to jump out of a pie. You mustn't be snobbish. 	 - Bonsoir. Quelle société !  Des ducs et des ladies . Le roi d'Espagne va-t-il bondir d'un gâteau ? Ne soyez pas snob. 	 None 	 Des ducs et des ladies 
Maybe  <hon>they<hoff> are... 	 Elles 	 Goodbye. Those faking art dealers! Peanut brains! Parasites! Maybe he's right. 	 Au revoir. Ces  marchands  de tableaux! Des idiots. Des parasites. S'il avait raison? 	 None 	 marchands 
On my eye means on my eye, doesn't it? 	 Sur mon oeil. Il 	 - Want what, Bates? - The steak, sir. On my eye. On your eye, sir? My word, why do I always have to say things twice? 	 - Quoi donc,  Bates ? - Le steak. Sur mon oeil. Sur votre oeil? Faut-il le répéter? 	 None 	 Bates 
Everything is tense,  <hon>they<hoff>  go closer. 	 L'atmosphère est tendue, ils 	 - It was over... - Wait, let's see what we've got. "The witnesses were ushered into the death chamber. All eyes focused on the chair. The death-dealing device with which the state enacts the supreme penalty. The sound of footsteps is heard. 	 - C'est la fin... - voyons ce qu'on a. "Les  témoins  entrent dans la chambre de la mort, regard braqué sur la chaise. Un instrument de mort servant à exécuter la peine suprême. On entend des pas. 	 None 	 témoins 
I was disappointed, obviously but I'm honestly glad that  <hon>it<hoff> 's where it belongs. 	 J'ai été déçu, bien sûr, mais je me réjouis qu'elle 	 Most of you were very helpful and nice to me. I want to thank you for that. And I want to thank you for the horse ride you gave me and for Taylor's picture of me and my key. You might want to know, the key wasn't meant for me.  It was meant for a Mr. William Black who maybe needed it even more than I did. 	 Vous avez presque tous été prévenants et gentils. Je vous en remercie. Merci aussi pour le tour à cheval et le dessin de Taylor de moi avec ma clé. Sachez-le, la clé ne m'était pas destinée.  Elle  était pour M. William Black, qui en avait peut-être plus besoin que moi. 	 It  	 Elle 
Right where it belongs. 	 Juste là où il 	 Who? Oh, I think you know who. Black hair, handsome features. Strange clothes covered in fresh blood. My, we've let this place go to hell, haven't we? 	 Qui ? Oh, je pense que vous savez qui. Cheveux noirs, beaux traits. Des vêtements étranges couverts de sang frais. Dieu, nous avons laissé  ce lieu  aller en enfer, n'est-il pas ? 	 None 	 ce lieu 
I think they came from floor zero. 	 Je crois qu'elles 	 Hey, Eden. It's Paula. Are you still sick? You haven't shown up four days. Did you get those strange flowers we sent over? 	 Eden. C'est Paula. Tu es toujours malade? On ne t'as pas vue depuis quatre jours. Tu as reçu  ces fleurs  étranges qu'on t'as envoyé? 	 None 	 ces fleurs 
Why they should have such an unchristian name as Peggotty, I don't know. 	 Pourquoi ont-ils 	 Would it be too much to hope that Mr. Micawber would eventually be eligible for a judge or a chancellor? Yes, he'd be eligible. - I wish you all success. - Thank you. Have a good holiday. Enjoy London, and have a good time with all your old  friends at Yarmouth. 	 Serait-ce trop espérer, que M. Micawber soit éligible pour être juge ou chancelier ? Oui, il serait éligible. Je vous souhaite toutes les réussites. Passe de bonnes vacances. Profite de Londres, amuse-toi avec tes vieux  amis  de Yarmouth. 	 friends  	 amis 
Aren't they lovely? 	 Ne sont-elles 	 Go away. Jean? - It's me, Cissy. - Just go away, Cissy, please. I-I know you're upset, so I brought you some flowers and I picked them myself. 	 Partez. Jean? - C'est moi, Cissy. - Laisse-moi, Cissy, s'il te plait. Je sais que tu es contrarié, alors je t'ai amené  des fleurs  que j'ai cueillies moi-même. 	 None 	 des fleurs 
Is it alive? 	 Il 	 I could kick your fucking ass. And you better never show your face around Quincy, you hear me? Okay, come on. Ever! I didn't know you had a baby. 	 J'pourrais te botter le cul. Et t'as pas intérêt à te pointer au magasin, tu m'entends ? Ok, allez. Jamais ! Je savais pas que t'avais  un bébé . 	 None 	 un bébé 
If it drags on, my bosses might push the force to crack down harder. 	 Si elle 	 That's how we've maintained our balance. He has your old job, right? Maybe he got too inquisitive. Maybe. Let's wrap up this Yamamoto case fast. 	 C'est comme ça que nous avons maintenu notre équilibre. Il a votre ancien boulot, n'est-ce pas ? Peut-être qu'il est trop curieux. Peut-être. Terminons rapidement  cette affaire Yamamoto . 	 None 	 cette affaire Yamamoto 
So they're not interested in me. 	 Alors elles 	 She can't hear you. Don't you wanna have sex, like, ever again in your life? Yes. I just don't think that I'm the dating type. Girls only wanna sleep with me because they read my book in high school. So? 	 Elle t'entend pas. Mais ça te tenterait pas, du sexe, à un moment donné, dans ta vie ? Je crois que les rendez-vous galants c'est pas mon truc.  Les filles  veulent juste coucher avec moi parce qu'elles ont lu mon livre au lycée. Et alors ? 	 None 	 Les filles 
Because it happens in California, the golden state. 	 Parce qu'il 	 Yes. Yeast is alive. If you feed it sugar, it can live forever. When my dad was alive, he would go to the garage to take care of it, called it his "baby." Ms. Harris, do you know why they called it "The Golden State Brew-Off"? 	 Oui. La levure est vivante. Si vous la nourissez avec du sucre, elle peut vivre pour toujours. Quand mon père était en vie, il allait dans le garage pour s'en occuper, il l'appelait son "bébé". Mme Harris, savez vous pourquoi celà s'appelle  le "concours  de brassage de l'Etat Doré" ? 	 None 	 le "concours 
I want it to look... 	 Je veux dire qu'il 	 Dynasty: Look, everybody's gone home and I'm sure as hell ain't gonna do it. Just keep your mouth shut, Tariq. Ricky: Hmm... (Light clicks on and off) It's just the lighting is not, you know... 	 Ecoute, tout le monde est parti et c'est sûrement pas moi qui vais le faire. Contente toi de garder la bouche fermée, Tariq. Ricky: Hmm... Est-ce que ça va ? C'est juste que l'éclairage  n'est pas, vous savez... 	 None 	 l'éclairage 
The white wall is out of balance, so it's not... 	 <hon>Le mur blanc<hoff>  n'est pas en équilibre, Il 	 Just keep your mouth shut, Tariq. Ricky: Hmm... (Light clicks on and off) It's just the lighting is not, you know... I want it to look... 	 Contente toi de garder la bouche fermée, Tariq. Ricky: Hmm... Est-ce que ça va ? C'est juste que  l'éclairage  n'est pas, vous savez... Je veux dire qu'il ressemble à... 	 None 	 l'éclairage Je 
As long as it follows its own path, it will find its way. 	 Si  <hon>elle 	 That's the Crooked Arrow, my Sunaquot name. I have made sticks and arrows for generations. Each one is different, and none are perfect. No arrow flies straight. There's nothing wrong with a crooked arrow. 	 La Flèche Crochue, mon nom Sunaquot. Je fabrique des bâtons depuis des générations. Chacun est différent et aucun n'est parfait. Aucune flèche ne vole droit.  Une flèche crochue  est bonne. 	 None 	 Une flèche crochue 
La Païva kept hers here so they wouldn't freeze in winter. 	 La Païva conservait ici les siennes pour qu'elles 	 The terrace that we see was originally bigger, and the building here didn't exist. It was built by the Club at the time of the sale, in 1903. Just behind was a direct access to the stables, which are still standing but unused at the present time. On the right-hand side, we also have the winter garden. For in the late 19th century, exotic plants were the fashion. 	 Autrement, la terrasse que nous voyons était plus grande, à l'époque, et le bâtiment qui est là n'existait pas. Il a été construit par le club lors de l'achat en 1903. Juste derrière, il y avait un accès direct vers les écuries, qui existent toujours, mais qui ne sont plus utilisées actuellement. On a également, sur la partie droite, le jardin d'hiver. Car à cette époque, fin XIXe, la mode était aux  plantes exotiques . 	 None 	 plantes exotiques 
Here it is. 	 Elle 	 It seems we've finally stopped keeping secrets just in time for our wedding. You're not getting cold feet, are you? No. I've never been more sure of any decision my entire life. I know my I.D. is in here somewhere. 	 Il semblerait que nous ayons enfin arrêté les secrets juste à temps pour notre mariage. Tu n'es pas anxieuse ? Non. Je n'ai jamais été aussi sûre d'une décision de toute ma vie. Je sais que  ma carte d'identité  est là quelque part. 	 None 	 ma carte d'identité 
Then it wasn't. 	 Ensuite, elle 	 'So... 'there's something in these photos that you didn't see, 'clever as you are. 'I've decided you're on my side. 'Everyone else might have given up on me, but I've still got, well... 'you.' What you missed was the bottle. First, it was in the baggage truck. 	 Alors... il y a quelque chose sur ces photos que tu n'as pas vu, aussi futée que tu sois. J'ai décidé que tu es de mon côté. N'importe qui m'aurait laissé tomber, sauf, eh bien, toi. Ce qui te manquait c'était la bouteille. D'abord,  elle  était dans le fourgon à bagages 	 None 	 elle 
No, where  <hon>it<hoff>  is! 	 Non, où il 	 Bring him here. Unharmed. I would see him in this chair. Come on, higher! All right, ready, move! 	 Amenez-le ici. Désarmé. Je le verrais dans  ce fauteuil . Allez, plus haut ! Ok, prêt, vas-y ! 	 None 	 ce fauteuil 
Once you understand what it wants you to know you will be free of it. 	 Lorsque vous comprendrez ce qu'elle 	 What did you feel at that house? The presence told me that your mother has done something ... Something that she didnt want anyone to know about. But this thinsg was trying to kill us wasnt it? No, it was trying to show us something. 	 Qu'as-tu ressenti à la maison? La présence m'a dit que ta mère a fait quelque chose Quelque chose qu'elle voulait que personne ne sache Mais cette chose a essayé de nous tuer, non ? Non,  elle a essayé de nous montrer quelque chose 	 None 	 elle 
As I look at it, it starts to spin. 	 Sous mes yeux, elle 	 Oh, a dream! Let's hear all about it! Quiet! Now, child, you were saying? Well, I'm running through the woods, and then right there in front of me is an arrow. 	 Un rêve ! Je veux tout savoir ! Silence ! Tu disais, mon enfant ? Eh bien, je cours dans la forêt. Et, à mes pieds, je vois  une flèche. 	 None 	 une flèche. 
And I think it actually flew out. 	 Et je pense qu'elle 	 I slept. Stevie taught me how to sleep. I did it. It was a friggin' mistake, because I dreamt my door came back. I opened it and then this-- this thing rushed out. 	 J'ai dormi. Stevie m'a appris comment dormir. Je l'ai fait. C'était une foutue erreur, parce que j'ai rêvé que ma porte était revenue. Je l'ai ouverte et ensuite cette...  cette chose  a jaillie. 	 None 	 cette chose 
Imagine it expanding? 	 L'imaginer qu'elle 	 No, those meds you're taking. Without anxiety to keep your vanity in check, you are vulnerable to a syndrome called hyper-narcissosis. Okay, look. This apple is your ego. Imagine it expanding to the point of critical mass, taking over your whole personality, making you an uncontrollable monster. Britta, how did an apple make that clear? 	 Non, a propos de ces pilules que tu prends. Sans l'anxiété qui stop ta vanité, tu es enclin à attrapé un syndrome nommé l'hyper narcissisme. ok regarde, cette pomme est ton ego Imagine qu'elle se propage à toutes les parties de ton cerveau, changeant toute ta personnalité, te transformant en un monstre incontrôlable. Britta, comment  une pomme  peut rendre ça compréhensible? 	 None 	 une pomme 
Yeah, it is. 	 Oui, elle 	 I never told you how much they were gettin' paid. - Shawn! - Hey, buzz. I forgot to pick up our check. Did I hear the Towne/beaumont case was wrapped up? 	 Je ne t'ai jamais dit combien ils étaient payés. - Shawn ! - Hey, Buzz. J'ai oublié de récupérer ton chèque. Est-ce que j'ai entendu que  l'affaire Towne/Beaumont  était pliée ? 	 None 	 l'affaire Towne/Beaumont 
Because on its own, it has no significance. 	 parce qu'il 	 I'm sorry to interrupt. That man, Peter-he says he knows where Jones is going. I think he was looking for a mineral named Amphilicite. It's found mostly under sizeable deposits of limestone. I overlooked its significance. 	 Désolée de vous interrompre. Cet homme, Peter, il dit qu'il sait où Jones veut aller. Je pense qu'il cherche  un minéral  appelé Amphilicite. On le trouve souvent dans des dépôts assez importants de calcaire. J'ai oublié son utilité. 	 None 	 un minéral 
- Do you think that it was on? 	 - Tu penses qu'il 	 - I got it. - Oh... Um... Listen, they wouldn't have recorded that, right? I had the mic on, but I don't think it was hot. 	 - Je l'ai eu. - Oh... Hum... Ils n'auraient pas enregistré ça, si? J'avais  le micro  sur moi, mais je pense pas qu'il était chaud. 	 None 	 le micro 
I think it has applications for unmanned space flight. 	 Je pense qu'elle 	 You're gonna need to come down and clean this up now. Ugh! I wouldn't have to do any of this if Alex would just let me use hers - from when she took the class. - Never. That design is my intellectual property. 	 Tu vas devoir descendre et nettoyer tout ça, maintenant. Je n'aurais pas à le faire si Alex me laissait utiliser ceux qu'elle a fait en classe. - Jamais.  Cette conception  est ma propriété intellectuelle. 	 None 	 Cette conception 
I have some prettier ones, but. who knows where they are! . 	 J'en ai de  <hon>plus jolies<hoff> , mais... qui sait où elles 	 We'll probably talk a little bit. Should I call you later? Yes. Sit down. Maybe the gas is turned off ... That must have been my sister. 	 On va parler un peu. Je t'appelle après ? Asseyez-vous. Le gaz est peut-être fermé... Ça doit être ma  sœur . 	 None 	 sœur 
It should pinpoint it's exact location. 	 Il 	 Don't we need to find the last crystal first? Adam and Melissa uncloaked it. They did? But all we know is that it's somewhere in the high school. But Balcoin blood has a special connection to the crystals. 	 N'a-t-on pas besoin de trouver le dernier cristal d'abord ? Adam et Melissa l'ont débloqué. Ils l'ont fait? Mais c'est tout ce que nous savons c'est qu'il est quelque part dans le lycée. Mais  le sang Balcoin  a une connexion spéciale avec les cristaux. 	 None 	 le sang Balcoin 
What was it like? 	 Comment elle 	 He went swimming in a frozen lake in New Jersey? Adams said his ex-girlfriend was a yoga instructor. Maybe he sprained his chakras. Yoga nuts are way more likely to be into alternative medicine. He had this weird little teapot in his house. 	 Il a nagé dans un lac gelé ? Son ex est prof de yoga. Il s'est foulé les chakras. Les dingues de yoga donnent dans la médecine alternative. Il y a  une théière  bizarre chez lui. 	 None 	 une théière 
Now unless everybody in here has five hands, there is no way they should be empty already. 	 Donc excepté si chaque personne ici a cinq mains, elles 	 Gee, thanks, mom. Great way to start off the week with you. Listen up, y'all. There is a new sheriff in town, and this kind of waste isn't gonna fly anymore. These three boxes of gloves were full yesterday. 	 Grr merci maman. Super façon de commencer la semaine avec toi. Ecoutez bien, vous tous. Il y a un nouveau chérif en ville, et ce genre de gâchis ne durera pas plus longtemps.  Ces trois boites de gants  étaient pleines hier. 	 None 	 Ces trois boites de gants 
I just thought, "If they can do it, I can do it." 	 J'ai juste pensé, "si elles 	 The white man destroys everybody. Well, it's mostly just Myk that I'm mad at. You know, I was in Ghana, and I was so sad and mopey, but there were these amazing African women who smelled really bad and didn't have clean water, and some of them even had AIDS. But they were dancing and singing around a fire, and they just... They were so strong and joyous. 	 L'homme blanc détruit tout le monde. En fait, c'est plutôt contre Myk que je suis en colère Vous savez, j'étais au Ghana et j'étais si triste et morose, mais il y avait ces incroyables femmes africaines qui sentaient vraiment mauvais et qui n'avaient pas d'eau potable, et certaines avaient même le SIDA. Mais elles dansaient et chantaient autour d'un feu, et elles étaient juste...  Elles  étaient si fortes et joyeuses. 	 None 	 Elles 
You still have it locked in your closet, right? 	 Il 	 Thanks. She definitely knows about the Jenna thing. "You still have something that belongs to me. "Bring it, or one of you leaves in a body bag. "A" has to be talking about her phone. 	 Merci. Elle sait pour Jenna. "Vous avez encore un truc à moi. "Rendez-le, ou l'une de vous finira dans un sac mortuaire."A. A doit parler de son téléphone . 	 None 	 son téléphone 
I'm just saying, I've got rocks, they've got backpacks, and there's a lake on the way to school. 	 Gabby ! Je dis juste que j'ai des pierres, elles 	 Enough nurturing your inner child. I need you to come home and whack a couple of your outer ones. I can't come home until my treatment is complete. That's another 16 days. In 16 days, I can't guarantee you're gonna have children to come home to. You wouldn't believe the things that are going through my mind. Gaby. 	 Non ! Non, non. Arrête de nourrir ton enfant intérieur. Il faut que tu rentres pour élever tes enfants extérieurs. Je ne peux pas rentrer avant la fin de ma thérapie. Dans 16 jours. Dans 16 jours, je ne peux pas te promettre que tu auras encore  des enfants . Tu n'as aucune idée de ce qui me traverse l'esprit. 	 None 	 des enfants 
She replied it had no name yet. 	 Elle me répondit qu'il 	 My neighbors were looking for the small crocodile that had escaped from the lake that Aurora had built on her farm. I found the animal in my garden and spent part of that evening watching it move in the bathtub. Aurora was happy when she got the crocodile back. Since her husband was away on business, she ordered lemonade to be served outside, following the customary prudish etiquette. To make small talk, I asked about the animal's name. 	 Mes voisins étaient à la recherche d'un petit crocodile qui s'était échappé du lac qu'Aurora avait construit sur sa ferme. Je trouvais l'animal dans mon jardin et je passais une partie de la soirée à l'observer dans ma baignoire. Aurora fut heureuse de retrouver le crocodile. Son mari parti en voyage d'affaires, elle fit servir la citronnade dehors, suivant la coutume et une prude étiquette. Pour faire la conversation, je demandais le nom de  l'animal . 	 None 	 l'animal 
Oh, I think it looks very authentic. 	 [voix féminine]Oh, je trouve qu'il 	 Oneonta. You, jacket. Well, hello there, welcome to the White House. Four score and seven years ago... What's with that hat? 	 Oneonta. toi, veste. Oh, bien le bonjour, bienvenue à la Maison Blanche. Il y a 87 ans... Qu'est-ce qu'il a  ce chapeau  ? 	 None 	 ce chapeau 
- Where is  <hon>it<hoff> ? 	 - Elle 	 Maybe that's all family really is. A group of people that miss the same imaginary place. Maybe. How about some fuckin' furniture, dude? I bought a chair, but I didn't like it. 	 C'est peut-être seulement ça, la famille. Des gens qui ont la nostalgie du même endroit imaginaire. Peut-être. Putain, tu pourrais pas acheter des meubles ? J'ai acheté une  chaise , mais elle me plaisait pas. 	 None 	 chaise 
Perhaps now they will. 	 Peut-être le feront-ils 	 - One of our greatest spiritual leaders. "The Book of G'Quan" is copied by hand from the original with every note and line precisely drawn. This ship and your ship are the same. I tried to warn the others that the ancient enemy was returning. But no one listened. 	 - Un des plus grands leaders spirituels. Le livre de G'Quon a été copié à la main, à partir de l'original. Chaque mot et chaque ligne ont été soigneusement rédigés. Ce vaisseau et le vôtre ne font qu'un. J'ai essayé de prévenir  les autres  du fait que l'ennemi revenait. Mais personne n'a écouté. 	 None 	 les autres 
You think they don't know your bastards? 	 Ils 	 - You are nothing but a drunken whore. - Shut your mouth. You 10-titted bitch from Hades! Which god could I curse to have ever laid eyes on you! Do you think people respect you? 	 - Tu n'es rien qu'une putain alcoolique ! - Ferme-la ! Putain d'Hadès ! Quel dieu maudire pour avoir posé les yeux sur toi ? Tu crois que les  gens  te respectent ? 	 None 	 gens 
But if this is correct why would they just disappear for a thousand years? 	 Si cela est exact... pourquoi auraient-ils 	 "The Book of G'Quan" is copied by hand from the original with every note and line precisely drawn. This ship and your ship are the same. I tried to warn the others that the ancient enemy was returning. But no one listened. Perhaps now they will. 	 Le livre de G'Quon a été copié à la main, à partir de l'original. Chaque mot et chaque ligne ont été soigneusement rédigés. Ce vaisseau et le vôtre ne font qu'un. J'ai essayé de prévenir les autres du fait que l'ennemi revenait. Mais personne n'a écouté. Peut-être le  feront-ils  désormais. 	 None 	 feront-ils 
If they were ever to be set free it would be a darkness such as we have never seen before. 	 Si jamais ils 	 Truth is in our hearts, and none will tell you this but your father. Men hate the gods. The only reason we worship any of them is because we fear worse. What's worse? The Titans. 	 La vérité est dans nos cœurs, et seul ton père te le dira. Les hommes détestent les dieux. Nous les adorons uniquement parce que nous craignons pire. Qu'est-ce qui est pire ? Les  Titans . 	 None 	 Titans 
Could they ever come back? 	 Pourraient-ils 	 Men hate the gods. The only reason we worship any of them is because we fear worse. What's worse? The Titans. If they were ever to be set free it would be a darkness such as we have never seen before. 	 Les hommes détestent les dieux. Nous les adorons uniquement parce que nous craignons pire. Qu'est-ce qui est pire ? Les Titans. Si jamais  ils  étaient libérés, alors ce serait les ténèbres. 	 None 	 ils 
Yes, they are very powerful, which is what we need. 	 Oui, ils 	 We only require your assistance and that of your allies. Listen to me, Refa. My allies have begun to worry me. Reports I have received. Their sheer strength-- 	 On a juste besoin de votre aide et de celle de vos alliés. Ecoutez-moi, Refa.  Mes alliés  commencent à m'inquiéter. J'ai reçu des rapports. Leur force... 	 None 	 Mes alliés 
Yes, there was a storm and it just came loose. 	 Oui, il y a eu une tempête et elle 	 I was, yes. But Craggy Island has its charms. The west part of the island was beautiful. Until it drifted off. Drifted off? 	 Oui. Mais Craggy Island a son charme.  La partie  ouest de l'île était jolie. Jusqu'à ce qu'elle ne s'écroule. 'S'écroule? ' 	 None 	 La partie 
How were they to know that they are terrorists? 	 Comment pouvaient-ils 	 I'll answer all your questions at the police station As of now, clear the corpse. - Hey lady... you are yelling as if we planted the corpse here They have been your guests for ten days Look, the trustees rented this room out 	 Je répondrai à toutes vos questions au comissariat Mais maintenant enlevez-moi ce cadavre. - Hé Madame... Vous hurlez comme si c'était nous qui l'avions planté là Ils ont été vos invités pendant 10 jours Ecoutez, les  administrateurs  ont loué cette pièce 	 None 	 administrateurs 
Look, they are... 	 Regardes, ils 	 Why do you want to quit the job? Why must I do this kind of a job? During the course of this mission... I have learnt that, what I wish to do... the reason I joined the police force... I won't be allowed to do And what they would force me to do, is unacceptable to my conscience You want me to salute criminals like Deodhar and Naidu? 	 Pourquoi tu veux tout quitter? Pourquoi est-ce que je dois faire ce genre de travail? Pendant cette mission... j'ai appris que, ce que je souhaitais faire... la raison pour laquelle j'ai rejoint les forces de police... Et ce qu'elles me forceraient à faire, est inacceptable pour ma conscience Tu veux que je salue des  criminels  comme Deodhar et Naidu ? 	 None 	 criminels 
Sure, that's what they're there for. 	 Bien sûr, elles 	 This guy loves the picnic basket. Excuse me, sir, could you tell us how to get a taxi? Just take one of the public cars, son. There are three of them right over there. You mean we just take them? 	 Il adore le panier de pique-nique. Excusez-moi, monsieur. Où peut-on trouver un taxi? Prenez  une des voitures  publiques. Il y en a trois là-bas. On se sert? 	 None 	 une des voitures 
And they are very special. 	 Et ils 	 - She's different Are you two friends? Ram, I don't like being compelled to be a friend Fine. - I choose my friends 	 - Elle est différente. Vous îtes les deux amis? Ram je n'aime pas ître contrainte d'ître un ami. Ok. - Je choisis mes  amis . 	 None 	 amis 
Ah, well, I hope you find <hon>it<hoff> worthwhile. 	 Ah, j'espère que tu trouveras qu'elle 	 No, I'm all right. I'm all right. Don't worry about me. Eddie! It is an honor to meet you, sir. I want to thank you in advance for this experience. 	 Ça fait très mal? - Non, ça va. - T'inquiète pas de moi. - Eddie! C'est un honneur de vous rencontrer. Je vous remercie de l' expérience . 	 None 	 expérience 
...since they were at the bottom." 	 "Qu'elles 	 "the two young women "judged society all the more haughtily..." "the two young women regarded..." "...regarded society all the more haughtily..." how does it go again? 	 "Les deux jeunes femmes... "jugeaient la société d'autant plus souverainement  qu'elles ..." "Les 2 jeunes femmes pensaient..." "Les 2 jeunes femmes pensaient la société "d'autant plus souverainement..." C'est quoi, alors ? 	 None 	 qu'elles 
How many ships do they have and where? 	 Combien de vaisseaux ont-ils 	 If you only hallucinate about Quark's problems, you have a sad fantasy life. Oh, well... Thank you for your professional opinion. Any time. My doors are always open to you, Chief. The Dominion represents the greatest threat to the Alpha Quadrant in the last century. We need more information on its military capabilities. 	 Si l'hallucination ne porte que sur Quark, vous avez une carence en imagination. Merci de l'avis médical. Les portes de mon cabinet sont toujours ouvertes.  Le Dominion  représente la plus grande menace du siècle pour le quadrant Alpha. Il nous faut connaître leurs capacités militaires. 	 None 	 Le Dominion 
- Does he know what time they left? 	 - Ils 	 One second, Marjorie. It's Mrs. Glick. She thinks her boys are here. - They went home. - Mark says they went home. - They must be on the way. 	 Une seconde. C'est Mme Glick, elle croit que ses fils sont ici. - Ils sont rentrés. - Ils sont partis, -  Ils sont en chemin. 	 None 	 Ils 
- He says they're on a pedestal. 	 - qu'ils 	 - I used to babysit Danny Glick. - Yeah. Oh, how's the baby? Poor little boy has a chest cold. I don't have the car, and Roy says doctors don't make house calls anymore. 	 - J'ai gardé Danny Glick. - Oui. Comment va le bébé ? Il a pris froid le pauvre. Mais Roy dit que les médecins  ne font plus de visites, 	 None 	 médecins 
Then they forget all about it after. 	 Puis, ils 	 - One question only. Uno. - Okay. - Here's the question... - No, no. I think... You've had your question and the answer, Tommy, please. Senora is tired. Senorita, why do people only ask themselves deep questions... when something really bad happens? 	 Une seule question. - Voici ma question... - Vous I'avez posée. - On oublie le pétrole. - Madame est fatiguée. Pourquoi les  gens  ne s'interrogent-ils qu'après une catastrophe ? 	 None 	 gens 
Is it ever really closed? 	 L'est-elle 	 You see, the detectives, they just wanted to gloss right over that. But in fact, no manure, no magic. - Did you hear some of that? - Some of it sounds pretty good. I think... I think this case is closed. 	 Sans fumier, pas de magie. - Tu as entendu ? - Il y a du bon, là-dedans. Je crois bien... Que I' affaire  est close. 	 None 	 affaire 
